Back to Contents,Data 1: U.S. Price of Natural Gas Sold to Commercial Consumers (Dollars per Thousand Cubic Feet)
Sourcekey,N3020US3
Date,U.S. Price of Natural Gas Sold to Commercial Consumers (Dollars per Thousand Cubic Feet)
Jan-1973,
Feb-1973,
Mar-1973,
Apr-1973,
May-1973,
Jun-1973,
Jul-1973,
Aug-1973,
Sep-1973,
Oct-1973,
Nov-1973,
Dec-1973,
Jan-1974,
Feb-1974,
Mar-1974,
Apr-1974,
May-1974,
Jun-1974,
Jul-1974,
Aug-1974,
Sep-1974,
Oct-1974,
Nov-1974,
Dec-1974,
Jan-1975,
Feb-1975,
Mar-1975,
Apr-1975,
May-1975,
Jun-1975,
Jul-1975,
Aug-1975,
Sep-1975,
Oct-1975,
Nov-1975,
Dec-1975,
Jan-1976,
Feb-1976,
Mar-1976,
Apr-1976,
May-1976,
Jun-1976,
Jul-1976,
Aug-1976,
Sep-1976,
Oct-1976,
Nov-1976,
Dec-1976,
Jan-1977,
Feb-1977,
Mar-1977,
Apr-1977,
May-1977,
Jun-1977,
Jul-1977,
Aug-1977,
Sep-1977,
Oct-1977,
Nov-1977,
Dec-1977,
Jan-1978,
Feb-1978,
Mar-1978,
Apr-1978,
May-1978,
Jun-1978,
Jul-1978,
Aug-1978,
Sep-1978,
Oct-1978,
Nov-1978,
Dec-1978,
Jan-1979,
Feb-1979,
Mar-1979,
Apr-1979,
May-1979,
Jun-1979,
Jul-1979,
Aug-1979,
Sep-1979,
Oct-1979,
Nov-1979,
Dec-1979,
Jan-1980,
Feb-1980,
Mar-1980,
Apr-1980,
May-1980,
Jun-1980,
Jul-1980,
Aug-1980,
Sep-1980,
Oct-1980,
Nov-1980,
Dec-1980,
Jan-1981,
Feb-1981,
Mar-1981,
Apr-1981,
May-1981,
Jun-1981,
Jul-1981,
Aug-1981,
Sep-1981,
Oct-1981,
Nov-1981,
Dec-1981,
Jan-1982,
Feb-1982,
Mar-1982,
Apr-1982,
May-1982,
Jun-1982,
Jul-1982,
Aug-1982,
Sep-1982,
Oct-1982,
Nov-1982,
Dec-1982,
Jan-1983,
Feb-1983,
Mar-1983,
Apr-1983,
May-1983,
Jun-1983,
Jul-1983,
Aug-1983,
Sep-1983,
Oct-1983,5.62
Nov-1983,5.67
Dec-1983,5.62
Jan-1984,5.49
Feb-1984,5.54
Mar-1984,5.57
Apr-1984,5.52
May-1984,5.6
Jun-1984,5.67
Jul-1984,5.6
Aug-1984,5.47
Sep-1984,5.53
Oct-1984,5.54
Nov-1984,5.56
Dec-1984,5.6
Jan-1985,5.62
Feb-1985,5.53
Mar-1985,5.59
Apr-1985,5.65
May-1985,5.59
Jun-1985,5.65
Jul-1985,5.44
Aug-1985,5.42
Sep-1985,5.37
Oct-1985,5.3
Nov-1985,5.39
Dec-1985,5.25
Jan-1986,5.25
Feb-1986,5.28
Mar-1986,5.25
Apr-1986,5.23
May-1986,5.19
Jun-1986,5.09
Jul-1986,5.02
Aug-1986,4.9
Sep-1986,4.93
Oct-1986,4.88
Nov-1986,4.74
Dec-1986,4.73
Jan-1987,4.8
Feb-1987,4.79
Mar-1987,4.8
Apr-1987,4.9
May-1987,4.88
Jun-1987,4.87
Jul-1987,4.78
Aug-1987,4.77
Sep-1987,4.6
Oct-1987,4.62
Nov-1987,4.66
Dec-1987,4.67
Jan-1988,4.6
Feb-1988,4.69
Mar-1988,4.69
Apr-1988,4.71
May-1988,4.61
Jun-1988,4.53
Jul-1988,4.48
Aug-1988,4.37
Sep-1988,4.41
Oct-1988,4.53
Nov-1988,4.69
Dec-1988,4.78
Jan-1989,4.81
Feb-1989,4.8
Mar-1989,4.79
Apr-1989,4.77
May-1989,4.64
Jun-1989,4.57
Jul-1989,4.65
Aug-1989,4.61
Sep-1989,4.67
Oct-1989,4.61
Nov-1989,4.71
Dec-1989,4.81
Jan-1990,4.97
Feb-1990,5.05
Mar-1990,4.92
Apr-1990,4.82
May-1990,4.63
Jun-1990,4.56
Jul-1990,4.45
Aug-1990,4.55
Sep-1990,4.55
Oct-1990,4.66
Nov-1990,4.81
Dec-1990,4.92
Jan-1991,4.94
Feb-1991,4.94
Mar-1991,4.89
Apr-1991,4.87
May-1991,4.65
Jun-1991,4.8
Jul-1991,4.5
Aug-1991,4.73
Sep-1991,4.57
Oct-1991,4.58
Nov-1991,4.71
Dec-1991,4.84
Jan-1992,4.85
Feb-1992,5.03
Mar-1992,4.77
Apr-1992,4.77
May-1992,4.59
Jun-1992,4.72
Jul-1992,4.64
Aug-1992,4.73
Sep-1992,4.69
Oct-1992,4.9
Nov-1992,5.12
Dec-1992,5.11
Jan-1993,5.23
Feb-1993,5.14
Mar-1993,5.1
Apr-1993,5.19
May-1993,5.31
Jun-1993,5.4
Jul-1993,5.15
Aug-1993,5.34
Sep-1993,5.35
Oct-1993,5.18
Nov-1993,5.21
Dec-1993,5.33
Jan-1994,5.5
Feb-1994,5.58
Mar-1994,5.67
Apr-1994,5.6
May-1994,5.47
Jun-1994,5.37
Jul-1994,5.25
Aug-1994,5.31
Sep-1994,5.36
Oct-1994,5.11
Nov-1994,5.19
Dec-1994,5.24
Jan-1995,5.23
Feb-1995,5.14
Mar-1995,5.12
Apr-1995,5.08
May-1995,5.04
Jun-1995,5.16
Jul-1995,5.03
Aug-1995,4.99
Sep-1995,4.98
Oct-1995,4.82
Nov-1995,4.77
Dec-1995,5
Jan-1996,5.29
Feb-1996,5.25
Mar-1996,5.36
Apr-1996,5.34
May-1996,5.4
Jun-1996,5.43
Jul-1996,5.46
Aug-1996,5.56
Sep-1996,5.46
Oct-1996,5.33
Nov-1996,5.4
Dec-1996,5.78
Jan-1997,6.19
Feb-1997,6.14
Mar-1997,5.73
Apr-1997,5.46
May-1997,5.39
Jun-1997,5.64
Jul-1997,5.35
Aug-1997,5.43
Sep-1997,5.58
Oct-1997,5.74
Nov-1997,5.86
Dec-1997,5.72
Jan-1998,5.65
Feb-1998,5.59
Mar-1998,5.4
Apr-1998,5.64
May-1998,5.73
Jun-1998,5.51
Jul-1998,5.64
Aug-1998,5.46
Sep-1998,5.49
Oct-1998,5.31
Nov-1998,5.22
Dec-1998,5.23
Jan-1999,5.19
Feb-1999,5.28
Mar-1999,4.97
Apr-1999,5.31
May-1999,5.34
Jun-1999,5.29
Jul-1999,5.43
Aug-1999,5.45
Sep-1999,5.55
Oct-1999,5.46
Nov-1999,5.72
Dec-1999,5.57
Jan-2000,5.77
Feb-2000,5.95
Mar-2000,5.78
Apr-2000,6.03
May-2000,5.97
Jun-2000,6.49
Jul-2000,6.55
Aug-2000,6.08
Sep-2000,6.92
Oct-2000,7.48
Nov-2000,7.57
Dec-2000,8.2
Jan-2001,9.5
Feb-2001,9.8
Mar-2001,9.14
Apr-2001,9.01
May-2001,9.19
Jun-2001,8.5
Jul-2001,7.9
Aug-2001,7.61
Sep-2001,6.96
Oct-2001,6.39
Nov-2001,6.79
Dec-2001,6.35
Jan-2002,6.51
Feb-2002,6.4
Mar-2002,6.28
Apr-2002,6.56
May-2002,6.68
Jun-2002,6.8
Jul-2002,6.62
Aug-2002,6.45
Sep-2002,6.54
Oct-2002,6.64
Nov-2002,6.89
Dec-2002,7.16
Jan-2003,7.48
Feb-2003,7.98
Mar-2003,9.2
Apr-2003,8.97
May-2003,8.71
Jun-2003,9
Jul-2003,8.73
Aug-2003,8.4
Sep-2003,8.41
Oct-2003,8.28
Nov-2003,8.36
Dec-2003,8.62
Jan-2004,9.06
Feb-2004,9.1
Mar-2004,9.05
Apr-2004,9.02
May-2004,9.23
Jun-2004,9.71
Jul-2004,9.65
Aug-2004,9.66
Sep-2004,9.26
Oct-2004,9.17
Nov-2004,10.21
Dec-2004,10.42
Jan-2005,10.02
Feb-2005,9.83
Mar-2005,9.91
Apr-2005,10.25
May-2005,10.35
Jun-2005,10.22
Jul-2005,10.58
Aug-2005,11.01
Sep-2005,12.59
Oct-2005,14.29
Nov-2005,14.76
Dec-2005,14.01
Jan-2006,14.16
Feb-2006,12.95
Mar-2006,12.07
Apr-2006,11.57
May-2006,11.61
Jun-2006,11.09
Jul-2006,10.98
Aug-2006,11.2
Sep-2006,11.16
Oct-2006,10.05
Nov-2006,11.05
Dec-2006,11.61
Jan-2007,11.18
Feb-2007,11.22
Mar-2007,11.79
Apr-2007,11.5
May-2007,11.51
Jun-2007,11.81
Jul-2007,11.63
Aug-2007,11.19
Sep-2007,10.92
Oct-2007,10.93
Nov-2007,11.23
Dec-2007,11.24
Jan-2008,11.2
Feb-2008,11.49
Mar-2008,12.03
Apr-2008,12.63
May-2008,13.51
Jun-2008,14.68
Jul-2008,15.64
Aug-2008,14.19
Sep-2008,13.12
Oct-2008,12.06
Nov-2008,11.72
Dec-2008,11.61
Jan-2009,11.28
Feb-2009,10.98
Mar-2009,10.46
Apr-2009,9.7
May-2009,9.42
Jun-2009,9.53
Jul-2009,9.74
Aug-2009,9.52
Sep-2009,9.35
Oct-2009,8.93
Nov-2009,9.45
Dec-2009,9.1
Jan-2010,9.65
Feb-2010,9.71
Mar-2010,9.7
Apr-2010,9.57
May-2010,9.5
Jun-2010,9.72
Jul-2010,10.04
Aug-2010,9.94
Sep-2010,9.56
Oct-2010,9.27
Nov-2010,8.86
Dec-2010,8.82
Jan-2011,8.74
Feb-2011,8.88
Mar-2011,8.89
Apr-2011,9.02
May-2011,9.35
Jun-2011,9.57
Jul-2011,9.58
Aug-2011,9.77
Sep-2011,9.46
Oct-2011,8.94
Nov-2011,8.62
Dec-2011,8.3
Jan-2012,8.04
Feb-2012,7.76
Mar-2012,8.16
Apr-2012,8.04
May-2012,8.14
Jun-2012,8.44
Jul-2012,8.52
Aug-2012,8.71
Sep-2012,8.35
Oct-2012,8.07
Nov-2012,7.99
Dec-2012,8.18
Jan-2013,7.75
Feb-2013,7.78
Mar-2013,7.77
Apr-2013,8.15
May-2013,8.71
Jun-2013,9.07
Jul-2013,9.04
Aug-2013,9.04
Sep-2013,8.8
Oct-2013,8.28
Nov-2013,7.94
Dec-2013,7.81
Jan-2014,8.11
Feb-2014,8.69
Mar-2014,9.35
Apr-2014,9.49
May-2014,9.7
Jun-2014,9.94
Jul-2014,10.06
Aug-2014,9.67
Sep-2014,9.39
Oct-2014,8.97
Nov-2014,8.29
Dec-2014,8.53
Jan-2015,8.15
Feb-2015,7.81
Mar-2015,7.85
Apr-2015,8.03
May-2015,8.13
Jun-2015,8.52
Jul-2015,8.49
Aug-2015,8.46
Sep-2015,8.43
Oct-2015,7.79
Nov-2015,7.39
Dec-2015,7.23
Jan-2016,6.75
Feb-2016,6.86
Mar-2016,7.08
Apr-2016,6.98
May-2016,7.32
Jun-2016,7.72
Jul-2016,8.14
Aug-2016,8.3
Sep-2016,8.28
Oct-2016,7.96
Nov-2016,7.67
Dec-2016,7.27
Jan-2017,7.58
Feb-2017,7.89
Mar-2017,7.68
Apr-2017,8.04
May-2017,8.31
Jun-2017,8.75
Jul-2017,8.81
Aug-2017,8.76
Sep-2017,8.52
Oct-2017,7.97
Nov-2017,7.51
Dec-2017,7.42
Jan-2018,7.39
Feb-2018,7.74
Mar-2018,7.71
Apr-2018,7.65
May-2018,8.34
Jun-2018,8.58
Jul-2018,8.84
Aug-2018,8.69
Sep-2018,8.57
Oct-2018,7.69
Nov-2018,7.34
Dec-2018,7.7
Jan-2019,7.7
Feb-2019,7.58
Mar-2019,7.44
Apr-2019,7.76
May-2019,8.08
Jun-2019,8.22
Jul-2019,8.45
Aug-2019,8.41
,