Back to Contents,Data 1: U.S. Price of Natural Gas Delivered to Residential Consumers (Dollars per Thousand Cubic Feet)
Sourcekey,N3010US3
Date,U.S. Price of Natural Gas Delivered to Residential Consumers (Dollars per Thousand Cubic Feet)
Jan-1973,
Feb-1973,
Mar-1973,
Apr-1973,
May-1973,
Jun-1973,
Jul-1973,
Aug-1973,
Sep-1973,
Oct-1973,
Nov-1973,
Dec-1973,
Jan-1974,
Feb-1974,
Mar-1974,
Apr-1974,
May-1974,
Jun-1974,
Jul-1974,
Aug-1974,
Sep-1974,
Oct-1974,
Nov-1974,
Dec-1974,
Jan-1975,
Feb-1975,
Mar-1975,
Apr-1975,
May-1975,
Jun-1975,
Jul-1975,
Aug-1975,
Sep-1975,
Oct-1975,
Nov-1975,
Dec-1975,
Jan-1976,
Feb-1976,
Mar-1976,
Apr-1976,
May-1976,
Jun-1976,
Jul-1976,
Aug-1976,
Sep-1976,
Oct-1976,
Nov-1976,
Dec-1976,
Jan-1977,
Feb-1977,
Mar-1977,
Apr-1977,
May-1977,
Jun-1977,
Jul-1977,
Aug-1977,
Sep-1977,
Oct-1977,
Nov-1977,
Dec-1977,
Jan-1978,
Feb-1978,
Mar-1978,
Apr-1978,
May-1978,
Jun-1978,
Jul-1978,
Aug-1978,
Sep-1978,
Oct-1978,
Nov-1978,
Dec-1978,
Jan-1979,
Feb-1979,
Mar-1979,
Apr-1979,
May-1979,
Jun-1979,
Jul-1979,
Aug-1979,
Sep-1979,
Oct-1979,
Nov-1979,
Dec-1979,
Jan-1980,
Feb-1980,
Mar-1980,
Apr-1980,
May-1980,
Jun-1980,
Jul-1980,
Aug-1980,
Sep-1980,
Oct-1980,
Nov-1980,
Dec-1980,
Jan-1981,3.94
Feb-1981,3.99
Mar-1981,4.06
Apr-1981,4.11
May-1981,4.29
Jun-1981,4.3
Jul-1981,4.32
Aug-1981,4.3
Sep-1981,4.47
Oct-1981,4.5
Nov-1981,4.53
Dec-1981,4.55
Jan-1982,4.65
Feb-1982,4.69
Mar-1982,4.78
Apr-1982,4.86
May-1982,5.17
Jun-1982,5.2
Jul-1982,5.23
Aug-1982,5.23
Sep-1982,5.41
Oct-1982,5.66
Nov-1982,5.68
Dec-1982,5.74
Jan-1983,5.86
Feb-1983,5.87
Mar-1983,6
Apr-1983,6.06
May-1983,6.22
Jun-1983,6.2
Jul-1983,6.21
Aug-1983,6.18
Sep-1983,6.19
Oct-1983,6.7
Nov-1983,6.3
Dec-1983,5.94
Jan-1984,5.78
Feb-1984,5.84
Mar-1984,5.92
Apr-1984,5.96
May-1984,6.27
Jun-1984,6.76
Jul-1984,7.11
Aug-1984,7.23
Sep-1984,7.17
Oct-1984,6.8
Nov-1984,6.31
Dec-1984,6.05
Jan-1985,5.97
Feb-1985,5.86
Mar-1985,5.99
Apr-1985,6.11
May-1985,6.59
Jun-1985,6.96
Jul-1985,7.07
Aug-1985,7.21
Sep-1985,7.06
Oct-1985,6.5
Nov-1985,6.13
Dec-1985,5.7
Jan-1986,5.63
Feb-1986,5.67
Mar-1986,5.71
Apr-1986,5.89
May-1986,6.18
Jun-1986,6.67
Jul-1986,6.84
Aug-1986,6.94
Sep-1986,6.83
Oct-1986,6.38
Nov-1986,5.66
Dec-1986,5.28
Jan-1987,5.3
Feb-1987,5.34
Mar-1987,5.36
Apr-1987,5.46
May-1987,5.98
Jun-1987,6.55
Jul-1987,6.78
Aug-1987,6.84
Sep-1987,6.64
Oct-1987,5.85
Nov-1987,5.42
Dec-1987,5.13
Jan-1988,5.08
Feb-1988,5.09
Mar-1988,5.18
Apr-1988,5.35
May-1988,5.87
Jun-1988,6.5
Jul-1988,6.74
Aug-1988,6.92
Sep-1988,6.79
Oct-1988,5.95
Nov-1988,5.56
Dec-1988,5.39
Jan-1989,5.41
Feb-1989,5.38
Mar-1989,5.45
Apr-1989,5.54
May-1989,5.93
Jun-1989,6.58
Jul-1989,6.92
Aug-1989,7.07
Sep-1989,6.8
Oct-1989,6.06
Nov-1989,5.56
Dec-1989,5.3
Jan-1990,5.43
Feb-1990,5.65
Mar-1990,5.6
Apr-1990,5.64
May-1990,6
Jun-1990,6.56
Jul-1990,7.04
Aug-1990,7.08
Sep-1990,6.9
Oct-1990,6.14
Nov-1990,5.69
Dec-1990,5.62
Jan-1991,5.54
Feb-1991,5.56
Mar-1991,5.6
Apr-1991,5.9
May-1991,6.28
Jun-1991,6.97
Jul-1991,7.23
Aug-1991,7.36
Sep-1991,6.92
Oct-1991,6.2
Nov-1991,5.51
Dec-1991,5.51
Jan-1992,5.53
Feb-1992,5.54
Mar-1992,5.5
Apr-1992,5.62
May-1992,6.15
Jun-1992,6.84
Jul-1992,7.27
Aug-1992,7.45
Sep-1992,7.15
Oct-1992,6.52
Nov-1992,6.02
Dec-1992,5.74
Jan-1993,5.73
Feb-1993,5.73
Mar-1993,5.67
Apr-1993,6.02
May-1993,6.78
Jun-1993,7.37
Jul-1993,7.86
Aug-1993,8.13
Sep-1993,7.75
Oct-1993,6.79
Nov-1993,6.17
Dec-1993,6.07
Jan-1994,5.93
Feb-1994,6.04
Mar-1994,6.3
Apr-1994,6.6
May-1994,6.84
Jun-1994,7.66
Jul-1994,8.1
Aug-1994,8.22
Sep-1994,7.84
Oct-1994,6.86
Nov-1994,6.27
Dec-1994,6.06
Jan-1995,5.85
Feb-1995,5.76
Mar-1995,5.84
Apr-1995,6.06
May-1995,6.54
Jun-1995,7.49
Jul-1995,7.82
Aug-1995,8.13
Sep-1995,7.73
Oct-1995,6.62
Nov-1995,5.61
Dec-1995,5.54
Jan-1996,5.64
Feb-1996,5.82
Mar-1996,5.93
Apr-1996,6.27
May-1996,6.84
Jun-1996,7.83
Jul-1996,8.64
Aug-1996,8.73
Sep-1996,7.99
Oct-1996,7.05
Nov-1996,6.37
Dec-1996,6.47
Jan-1997,6.74
Feb-1997,6.79
Mar-1997,6.52
Apr-1997,6.53
May-1997,6.83
Jun-1997,8.3
Jul-1997,8.78
Aug-1997,8.99
Sep-1997,8.84
Oct-1997,7.69
Nov-1997,6.86
Dec-1997,6.54
Jan-1998,6.41
Feb-1998,6.41
Mar-1998,6.29
Apr-1998,6.81
May-1998,7.7
Jun-1998,8.51
Jul-1998,8.53
Aug-1998,9.25
Sep-1998,8.96
Oct-1998,7.6
Nov-1998,6.58
Dec-1998,6.34
Jan-1999,6
Feb-1999,6.29
Mar-1999,6.06
Apr-1999,6.44
May-1999,7.3
Jun-1999,8.2
Jul-1999,8.83
Aug-1999,9.14
Sep-1999,8.63
Oct-1999,7.56
Nov-1999,7.15
Dec-1999,6.51
Jan-2000,6.37
Feb-2000,6.54
Mar-2000,6.91
Apr-2000,7.19
May-2000,8.26
Jun-2000,9.5
Jul-2000,10.32
Aug-2000,10.37
Sep-2000,10.1
Oct-2000,9.44
Nov-2000,8.58
Dec-2000,8.56
Jan-2001,10.12
Feb-2001,10.26
Mar-2001,9.85
Apr-2001,10.16
May-2001,11.14
Jun-2001,11.58
Jul-2001,11.22
Aug-2001,10.89
Sep-2001,10.17
Oct-2001,8.24
Nov-2001,7.98
Dec-2001,7.3
Jan-2002,7.38
Feb-2002,7.23
Mar-2002,7.1
Apr-2002,7.66
May-2002,8.54
Jun-2002,9.58
Jul-2002,10.31
Aug-2002,10.44
Sep-2002,10.23
Oct-2002,8.61
Nov-2002,7.99
Dec-2002,7.87
Jan-2003,8.18
Feb-2003,8.58
Mar-2003,9.77
Apr-2003,10.18
May-2003,10.79
Jun-2003,12.08
Jul-2003,12.75
Aug-2003,12.84
Sep-2003,12.31
Oct-2003,10.64
Nov-2003,9.77
Dec-2003,9.51
Jan-2004,9.71
Feb-2004,9.85
Mar-2004,10.03
Apr-2004,10.54
May-2004,11.63
Jun-2004,13.08
Jul-2004,13.54
Aug-2004,13.74
Sep-2004,13.31
Oct-2004,11.69
Nov-2004,11.44
Dec-2004,11.09
Jan-2005,10.9
Feb-2005,10.87
Mar-2005,10.84
Apr-2005,11.88
May-2005,12.74
Jun-2005,13.79
Jul-2005,14.86
Aug-2005,15.51
Sep-2005,16.56
Oct-2005,16.44
Nov-2005,15.64
Dec-2005,14.6
Jan-2006,14.92
Feb-2006,13.98
Mar-2006,13.17
Apr-2006,13.27
May-2006,14.41
Jun-2006,15.07
Jul-2006,15.72
Aug-2006,16.18
Sep-2006,15.71
Oct-2006,12.51
Nov-2006,12.45
Dec-2006,12.53
Jan-2007,12.17
Feb-2007,12.13
Mar-2007,12.81
Apr-2007,13.31
May-2007,14.69
Jun-2007,16.28
Jul-2007,16.71
Aug-2007,16.71
Sep-2007,16.03
Oct-2007,14.57
Nov-2007,13.04
Dec-2007,12.34
Jan-2008,12.24
Feb-2008,12.58
Mar-2008,13.13
Apr-2008,14.49
May-2008,16.33
Jun-2008,18.91
Jul-2008,20.77
Aug-2008,20.17
Sep-2008,18.41
Oct-2008,15.45
Nov-2008,13.8
Dec-2008,12.84
Jan-2009,12.49
Feb-2009,12.26
Mar-2009,11.98
Apr-2009,11.68
May-2009,12.86
Jun-2009,14.26
Jul-2009,15.27
Aug-2009,15.61
Sep-2009,14.8
Oct-2009,11.78
Nov-2009,11.48
Dec-2009,10.42
Jan-2010,10.56
Feb-2010,10.69
Mar-2010,10.99
Apr-2010,11.97
May-2010,13.12
Jun-2010,14.86
Jul-2010,16.21
Aug-2010,16.65
Sep-2010,15.63
Oct-2010,13.37
Nov-2010,10.89
Dec-2010,9.98
Jan-2011,9.9
Feb-2011,10.14
Mar-2011,10.43
Apr-2011,11.27
May-2011,12.5
Jun-2011,14.7
Jul-2011,16.14
Aug-2011,16.67
Sep-2011,15.63
Oct-2011,12.85
Nov-2011,10.78
Dec-2011,9.83
Jan-2012,9.62
Feb-2012,9.47
Mar-2012,10.41
Apr-2012,10.94
May-2012,12.61
Jun-2012,14.18
Jul-2012,15.13
Aug-2012,15.82
Sep-2012,14.72
Oct-2012,11.68
Nov-2012,9.99
Dec-2012,9.8
Jan-2013,9.15
Feb-2013,9.23
Mar-2013,9.35
Apr-2013,10.43
May-2013,12.61
Jun-2013,15.02
Jul-2013,16.3
Aug-2013,16.43
Sep-2013,15.69
Oct-2013,12.38
Nov-2013,10.04
Dec-2013,9.14
Jan-2014,9.26
Feb-2014,9.77
Mar-2014,10.7
Apr-2014,11.76
May-2014,13.6
Jun-2014,16.13
Jul-2014,17.23
Aug-2014,17.41
Sep-2014,16.27
Oct-2014,13.11
Nov-2014,10.19
Dec-2014,10.01
Jan-2015,9.5
Feb-2015,9.08
Mar-2015,9.28
Apr-2015,10.43
May-2015,12.73
Jun-2015,15.07
Jul-2015,16.28
Aug-2015,16.88
Sep-2015,16.4
Oct-2015,12.6
Nov-2015,10.02
Dec-2015,9.27
Jan-2016,8.28
Feb-2016,8.36
Mar-2016,9.19
Apr-2016,9.65
May-2016,11.62
Jun-2016,14.43
Jul-2016,16.56
Aug-2016,17.6
Sep-2016,16.78
Oct-2016,13.74
Nov-2016,10.77
Dec-2016,9.06
Jan-2017,9.32
Feb-2017,10.01
Mar-2017,9.86
Apr-2017,11.34
May-2017,13.25
Jun-2017,16.06
Jul-2017,17.86
Aug-2017,18.22
Sep-2017,16.92
Oct-2017,13.39
Nov-2017,10.14
Dec-2017,9.29
Jan-2018,8.9
Feb-2018,9.63
Mar-2018,9.76
Apr-2018,10.05
May-2018,13.52
Jun-2018,16.47
Jul-2018,17.84
Aug-2018,18.56
Sep-2018,17.23
Oct-2018,12.23
Nov-2018,9.41
Dec-2018,9.61
Jan-2019,9.45
Feb-2019,9.47
Mar-2019,9.49
Apr-2019,10.94
May-2019,12.88
Jun-2019,15.72
Jul-2019,17.94
Aug-2019,18.58
Sep-2019,17.81
,